,ActivitySiteID,BookingEndDateTime,Number Booked,Price (INR)
0,1,2018-04-08,-0.5938666245193457,-1.6928472511557702
1,1,2018-04-15,-0.2824868684267527,-1.6928472511557702
2,1,2018-04-22,-0.386280120457617,-1.6928472511557702
3,1,2018-04-29,-0.9052463806119386,-1.6928472511557702
4,1,2018-05-06,-1.1128328846736673,-1.6928472511557702
5,1,2018-05-13,-0.8014531285810743,-1.6928472511557702
6,1,2018-05-20,-1.1128328846736673,-1.6928472511557702
7,1,2018-05-27,-1.5280058927971247,-1.6928472511557702
8,4,2018-04-04,-0.8014531285810743,-1.6928472511557702
9,4,2018-04-11,-0.5938666245193457,-1.6928472511557702
10,4,2018-04-18,-0.9052463806119386,-1.6928472511557702
11,4,2018-04-25,-1.320419388735396,-1.6928472511557702
12,4,2018-05-02,-1.2166261367045317,-1.6928472511557702
13,4,2018-05-09,-1.320419388735396,-1.6928472511557702
14,4,2018-05-16,-1.2166261367045317,-1.6928472511557702
15,4,2018-05-23,-1.2166261367045317,-1.6928472511557702
16,4,2018-05-30,-1.1128328846736673,-1.6928472511557702
17,2,2018-04-03,2.5199309364065843,-1.6928472511557702
18,2,2018-04-10,1.6895849201596695,-1.6928472511557702
19,2,2018-04-17,2.0009646762522624,-1.6928472511557702
20,2,2018-04-24,1.5857916681288051,-1.6928472511557702
21,2,2018-05-01,1.6895849201596695,-1.6928472511557702
22,2,2018-05-08,1.0668254079744837,-1.6928472511557702
23,2,2018-05-15,1.3782051640670767,-1.6928472511557702
24,2,2018-05-22,1.3782051640670767,-1.6928472511557702
25,2,2018-05-29,1.2744119120362123,-1.6928472511557702
26,3,2018-04-04,0.0288928876658403,-1.6928472511557702
27,3,2018-04-11,-0.5938666245193457,-1.6928472511557702
28,3,2018-04-18,-0.386280120457617,-1.6928472511557702
29,3,2018-04-25,-0.386280120457617,-1.6928472511557702
30,3,2018-05-02,-0.5938666245193457,-1.6928472511557702
31,3,2018-05-09,-0.4900733724884813,-1.6928472511557702
32,3,2018-05-16,-0.69765987655021,-1.6928472511557702
33,3,2018-05-23,-0.386280120457617,-1.6928472511557702
34,3,2018-05-30,-1.1128328846736673,-1.6928472511557702
35,0,2018-04-03,1.481998416097941,-1.6928472511557702
36,0,2018-04-10,0.8592389039127549,-1.6928472511557702
37,0,2018-04-17,0.6516523998510263,-1.6928472511557702
38,0,2018-04-24,0.547859147820162,-1.6928472511557702
39,0,2018-05-01,0.4440658957892976,-1.6928472511557702
40,0,2018-05-08,1.2744119120362123,-1.6928472511557702
41,0,2018-05-15,0.0288928876658403,-1.6928472511557702
42,0,2018-05-22,0.6516523998510263,-1.6928472511557702
43,0,2018-05-29,1.0668254079744837,-1.6928472511557702
44,0,2018-04-05,0.7554456518818906,-1.6928472511557702
45,0,2018-04-12,0.547859147820162,-1.6928472511557702
46,0,2018-04-19,0.3402726437584333,-1.6928472511557702
47,0,2018-04-26,1.170618660005348,-1.6928472511557702
48,0,2018-05-03,0.2364793917275689,-1.6928472511557702
49,0,2018-05-10,0.6516523998510263,-1.6928472511557702
50,0,2018-05-17,1.170618660005348,-1.6928472511557702
51,0,2018-05-31,-0.386280120457617,-1.6928472511557702
52,1,2018-04-07,-0.8014531285810743,-1.6928472511557702
53,1,2018-04-14,-0.8014531285810743,-1.6928472511557702
54,1,2018-04-28,-0.69765987655021,-1.6928472511557702
55,1,2018-05-05,-0.4900733724884813,-1.6928472511557702
56,1,2018-05-12,-0.1786936163958883,-1.6928472511557702
57,1,2018-05-19,-0.8014531285810743,-1.6928472511557702
58,1,2018-05-26,-1.2166261367045317,-1.6928472511557702
59,0,2018-04-06,0.8592389039127549,-1.6928472511557702
60,0,2018-04-13,0.2364793917275689,-1.6928472511557702
61,0,2018-04-20,1.2744119120362123,-1.6928472511557702
62,0,2018-04-27,0.9630321559436192,-1.6928472511557702
63,0,2018-05-04,1.5857916681288051,-1.6928472511557702
64,0,2018-05-11,1.6895849201596695,-1.6928472511557702
65,0,2018-05-18,1.481998416097941,-1.6928472511557702
66,0,2018-05-25,1.170618660005348,-1.6928472511557702
67,2,2018-04-05,0.4440658957892976,-1.6928472511557702
68,2,2018-04-19,-0.386280120457617,-1.6928472511557702
69,2,2018-04-26,-0.386280120457617,-1.6928472511557702
70,2,2018-05-03,-0.1786936163958883,-1.6928472511557702
71,2,2018-05-10,-0.386280120457617,-1.6928472511557702
72,2,2018-05-17,-0.386280120457617,-1.6928472511557702
73,2,2018-05-24,0.0288928876658403,-1.6928472511557702
74,2,2018-05-31,0.6516523998510263,-1.6928472511557702
75,3,2018-04-03,-0.69765987655021,-0.4447741685013144
76,3,2018-04-10,0.1326861396967046,-0.4447741685013144
77,3,2018-04-17,0.1326861396967046,-0.4447741685013144
78,3,2018-04-24,0.3402726437584333,-0.4447741685013144
79,3,2018-05-01,0.0288928876658403,-0.4447741685013144
80,3,2018-05-08,-0.2824868684267527,-0.4447741685013144
81,3,2018-05-15,0.1326861396967046,-0.4447741685013144
82,3,2018-05-22,0.0288928876658403,-0.4447741685013144
83,3,2018-05-29,-0.5938666245193457,-0.4447741685013144
84,3,2018-04-03,-1.4242126407662603,-1.0688107098285424
85,3,2018-04-10,-1.7355923968588534,-1.0688107098285424
86,3,2018-04-17,-1.631799144827989,-1.0688107098285424
87,3,2018-04-24,-1.7355923968588534,-1.0688107098285424
88,3,2018-05-01,-1.631799144827989,-1.0688107098285424
89,3,2018-05-08,-1.631799144827989,-1.0688107098285424
90,3,2018-05-15,-1.631799144827989,-1.0688107098285424
91,3,2018-05-22,-1.631799144827989,-1.0688107098285424
92,3,2018-05-29,-1.631799144827989,-1.0688107098285424
93,0,2018-04-03,0.6516523998510263,-1.3184253263594334
94,0,2018-04-10,-0.074900364365024,-1.3184253263594334
95,0,2018-04-17,0.9630321559436192,-1.3184253263594334
96,0,2018-04-24,0.3402726437584333,-1.3184253263594334
97,0,2018-05-01,0.547859147820162,-1.3184253263594334
98,0,2018-05-08,1.170618660005348,-1.3184253263594334
99,0,2018-05-15,0.547859147820162,-1.3184253263594334
100,0,2018-05-22,1.0668254079744837,-1.3184253263594334
101,0,2018-05-29,0.6516523998510263,-1.3184253263594334
102,3,2018-05-18,1.2744119120362123,-1.3184253263594334
103,0,2018-04-09,1.481998416097941,-1.3184253263594334
104,0,2018-04-16,1.793378172190534,-1.3184253263594334
105,0,2018-04-23,1.481998416097941,-1.3184253263594334
106,0,2018-04-30,1.5857916681288051,-1.3184253263594334
107,0,2018-05-14,1.0668254079744837,-1.3184253263594334
108,0,2018-05-21,1.3782051640670767,-1.3184253263594334
109,3,2018-04-16,-0.69765987655021,-0.4447741685013144
110,3,2018-04-23,-1.5280058927971247,-0.4447741685013144
111,3,2018-04-30,-1.5280058927971247,-0.4447741685013144
112,3,2018-05-14,-1.1128328846736673,-0.4447741685013144
113,3,2018-05-21,-1.1128328846736673,-0.4447741685013144
114,3,2018-04-06,-1.2166261367045317,-0.4447741685013144
115,3,2018-04-13,-1.4242126407662603,-0.4447741685013144
116,3,2018-04-20,-1.1128328846736673,-0.4447741685013144
117,3,2018-04-27,-1.320419388735396,-0.4447741685013144
118,3,2018-05-04,-1.2166261367045317,-0.4447741685013144
119,3,2018-05-11,-1.320419388735396,-0.4447741685013144
120,3,2018-05-18,-0.8014531285810743,-0.4447741685013144
121,3,2018-04-09,1.5857916681288051,-1.0688107098285424
122,3,2018-04-16,1.481998416097941,-1.0688107098285424
123,3,2018-04-23,1.793378172190534,-1.0688107098285424
124,3,2018-04-30,1.3782051640670767,-1.0688107098285424
125,3,2018-05-14,1.6895849201596695,-1.0688107098285424
126,3,2018-05-21,1.5857916681288051,-1.0688107098285424
127,1,2018-04-05,-0.4900733724884813,-1.0688107098285424
128,1,2018-04-06,-0.1786936163958883,-1.0688107098285424
129,1,2018-04-12,0.1326861396967046,-1.0688107098285424
130,1,2018-04-13,-0.8014531285810743,-1.0688107098285424
131,1,2018-04-19,-0.1786936163958883,-1.0688107098285424
132,1,2018-04-20,-0.4900733724884813,-1.0688107098285424
133,1,2018-04-26,-0.1786936163958883,-1.0688107098285424
134,1,2018-04-27,-0.5938666245193457,-1.0688107098285424
135,1,2018-05-03,-0.4900733724884813,-1.0688107098285424
136,1,2018-05-04,-0.4900733724884813,-1.0688107098285424
137,1,2018-05-10,-0.4900733724884813,-1.0688107098285424
138,1,2018-05-11,-1.4242126407662603,-1.0688107098285424
139,1,2018-05-18,-0.69765987655021,-1.0688107098285424
